%Epsilons: 1) 4.78, 2) 26.29, 3) 47.8
%Fx Fy Fz Xd Yd Zd Xr Yr Zr
%
0.358431 0.696595 0.621516 415.144 -67.5257 207.003 414.543 -77.1333 206.162
0.337784 0.696676 0.632885 415.144 -67.5257 207.003 414.67 -77.1535 206.028
0.312333 0.696251 0.646284 415.144 -67.5257 207.003 414.894 -77.1066 205.995
0.292584 0.695531 0.656225 415.144 -67.5257 207.003 415.04 -77.0734 205.923
0.27333 0.694511 0.665542 415.144 -67.5257 207.003 415.185 -77.067 205.861
0.262864 0.693826 0.670454 415.144 -67.5257 207.003 415.28 -77.0349 205.868
0.252971 0.693095 0.675 415.144 -67.5257 207.003 415.35 -76.9532 205.842
0.255008 0.693253 0.674071 415.144 -67.5257 207.003 415.353 -76.837 205.907
0.265752 0.694023 0.66911 415.144 -67.5257 207.003 415.297 -76.7082 206.005
0.27366 0.69453 0.665385 415.144 -67.5257 207.003 415.247 -76.6284 206.054
0.287433 0.695289 0.658753 415.144 -67.5257 207.003 415.164 -76.5043 206.139
0.293586 0.695576 0.65573 415.144 -67.5257 207.003 415.15 -76.3796 206.228
0.299233 0.695811 0.652922 415.144 -67.5257 207.003 415.136 -76.2278 206.306
0.305151 0.696027 0.649946 415.144 -67.5257 207.003 415.122 -76.076 206.384
0.310418 0.696196 0.647265 415.144 -67.5257 207.003 415.134 -75.9735 206.495
0.325378 0.69654 0.6395 415.144 -67.5257 207.003 415.077 -75.8989 206.613
0.336061 0.696666 0.633814 415.144 -67.5257 207.003 415.061 -75.8821 206.741
0.35776 0.696605 0.621892 415.144 -67.5257 207.003 414.986 -75.88 206.912
0.377522 0.696171 0.610592 415.144 -67.5257 207.003 414.937 -75.8732 207.096
0.400087 0.695223 0.597156 415.144 -67.5257 207.003 414.897 -75.8802 207.325
0.422754 0.693765 0.583068 415.144 -67.5257 207.003 414.857 -75.8601 207.545
0.457507 0.690503 0.560262 415.144 -67.5257 207.003 414.756 -75.8818 207.817
0.492622 0.685864 0.535643 415.144 -67.5257 207.003 414.655 -75.9035 208.088
0.531211 0.679084 0.506616 415.144 -67.5257 207.003 414.501 -75.9346 208.333
0.569039 0.670564 0.475961 415.144 -67.5257 207.003 414.347 -75.9928 208.588
0.593552 0.663954 0.45482 415.144 -67.5257 207.003 414.244 -76.0495 208.764
0.612336 0.65826 0.43788 415.144 -67.5257 207.003 414.184 -76.1371 208.94
0.621972 0.655113 0.428925 415.144 -67.5257 207.003 414.183 -76.2643 209.095
0.615176 0.657348 0.435261 415.144 -67.5257 207.003 414.276 -76.4211 209.172
0.604305 0.660764 0.445204 415.144 -67.5257 207.003 414.387 -76.5325 209.207
0.575634 0.668874 0.470376 415.144 -67.5257 207.003 414.593 -76.5926 209.134
0.536221 0.678067 0.502685 415.144 -67.5257 207.003 414.834 -76.5616 208.976
0.492171 0.685934 0.535969 415.144 -67.5257 207.003 415.112 -76.35 208.808
0.438084 0.692484 0.573191 415.144 -67.5257 207.003 415.366 -75.8174 208.506
0.387498 0.695814 0.604721 415.144 -67.5257 207.003 415.467 -74.8165 208.047
0.335047 0.696659 0.634358 415.144 -67.5257 207.003 415.486 -73.5514 207.551
0.255984 0.693325 0.673627 415.144 -67.5257 207.003 415.407 -71.7663 206.88
0.0989157 0.671775 0.734121 415.144 -67.5257 207.003 415.228 -69.4512 206.065
-0.926284 -0.369035 0.0762262 410.691 -57.9544 199.234 414.672 -63.6536 204.13
-0.816845 -0.541473 -0.198926 410.691 -57.9544 199.234 414.468 -61.4797 203.372
-0.71475 -0.61008 -0.341958 410.691 -57.9544 199.234 414.409 -58.6879 202.661
-0.611936 -0.641911 -0.462045 406.224 -48.3562 191.815 413.784 -50.478 200.371
-0.588364 -0.647826 -0.483889 406.224 -48.3562 191.815 413.459 -47.3286 199.555
-0.564262 -0.65303 -0.505134 406.224 -48.3562 191.815 412.955 -43.8167 198.594
-0.551413 -0.645676 -0.528249 401.745 -38.7446 184.742 412.514 -39.3182 197.528
-0.544972 -0.646676 -0.533681 401.745 -38.7446 184.742 412.042 -33.3466 196.053
-0.548496 -0.646136 -0.530717 401.745 -38.7446 184.742 411.729 -27.4331 194.485
-0.568249 -0.633363 -0.525304 397.257 -29.1328 178.008 411.499 -21.1046 192.561
-0.584154 -0.630687 -0.510881 397.257 -29.1328 178.008 411.318 -14.6985 190.451
-0.607154 -0.617681 -0.499834 392.76 -19.5331 171.608 411.172 -8.47616 188.226
-0.621341 -0.614876 -0.485657 392.76 -19.5331 171.608 411.045 -2.62958 186.145
-0.639512 -0.60317 -0.476666 388.256 -9.95771 165.534 410.874 3.55307 183.93
-0.650386 -0.600777 -0.464828 388.256 -9.95771 165.534 410.634 9.2063 181.841
-0.665423 -0.590261 -0.45695 383.745 -0.417746 159.78 410.302 14.9002 179.634
-0.680084 -0.58037 -0.447947 379.227 9.07605 154.338 409.092 24.2538 175.914
-0.681537 -0.580039 -0.446164 379.227 9.07605 154.338 408.436 26.981 174.754
-0.681894 -0.579957 -0.445725 379.227 9.07605 154.338 407.671 29.1488 173.699
-0.680459 -0.580285 -0.447487 379.227 9.07605 154.338 406.613 31.8125 172.462
-0.68272 -0.573648 -0.452572 374.703 18.5135 149.201 405.49 34.2284 171.249
-0.679216 -0.574345 -0.456939 374.703 18.5135 149.201 404.151 36.1272 170.162
-0.674024 -0.575337 -0.463334 374.703 18.5135 149.201 402.745 37.3687 169.252
-0.667867 -0.576452 -0.470805 374.703 18.5135 149.201 401.288 37.9955 168.447
-0.664555 -0.577025 -0.474773 374.703 18.5135 149.201 399.917 38.4519 167.493
-0.667047 -0.576596 -0.47179 374.703 18.5135 149.201 398.942 38.5734 166.474
-0.673445 -0.575445 -0.464042 374.703 18.5135 149.201 398.376 38.3955 165.566
-0.681022 -0.573989 -0.454693 374.703 18.5135 149.201 397.919 37.8506 164.738
-0.68808 -0.572537 -0.44581 374.703 18.5135 149.201 397.476 36.92 164.046
-0.692805 -0.571512 -0.439766 374.703 18.5135 149.201 397.111 35.7332 163.642
-0.697708 -0.570403 -0.433411 374.703 18.5135 149.201 396.874 34.1457 163.415
-0.701657 -0.569473 -0.428226 374.703 18.5135 149.201 396.717 32.2985 163.376
-0.703389 -0.569056 -0.425933 374.703 18.5135 149.201 396.608 30.3082 163.55
-0.702943 -0.569164 -0.426526 374.703 18.5135 149.201 396.504 28.0314 163.914
-0.697456 -0.57046 -0.43374 374.703 18.5135 149.201 396.4 25.542 164.59
-0.684406 -0.579374 -0.442622 379.227 9.07605 154.338 396.294 22.8774 165.498
-0.668409 -0.582887 -0.462031 379.227 9.07605 154.338 396.126 19.7345 166.723
-0.644276 -0.587341 -0.489835 379.227 9.07605 154.338 395.934 16.209 168.234
-0.610874 -0.592005 -0.525702 379.227 9.07605 154.338 395.632 12.5686 169.845
-0.558179 -0.605863 -0.566892 383.745 -0.417746 159.78 395.21 8.18732 171.736
-0.489771 -0.608305 -0.624571 383.745 -0.417746 159.78 394.711 3.32709 173.765
-0.390159 -0.617022 -0.683418 388.256 -9.95771 165.534 394.207 -1.73929 175.829
-0.241452 -0.598234 -0.764079 388.256 -9.95771 165.534 393.607 -7.59372 178.17
-0.00855815 -0.557492 -0.830138 392.76 -19.5331 171.608 392.984 -13.8865 180.627
0.275267 -0.440709 -0.854402 392.76 -19.5331 171.608 392.342 -20.0569 183.023
0.586546 -0.262803 -0.766093 397.257 -29.1328 178.008 391.601 -26.7384 185.628
0.797344 -0.0490762 -0.601527 397.257 -29.1328 178.008 390.828 -33.6463 188.18
0.897208 0.101822 -0.429709 401.745 -38.7446 184.742 390.055 -40.1989 190.457
0.932788 0.23107 -0.276611 401.745 -38.7446 184.742 389.439 -47.2296 192.652
0.935957 0.316788 -0.153721 406.224 -48.3562 191.815 388.961 -54.308 194.731
0.922617 0.380495 -0.0632626 406.224 -48.3562 191.815 388.636 -60.9125 196.602
0.903715 0.428027 0.00961544 406.224 -48.3562 191.815 388.386 -67.7582 198.518
0.881869 0.466397 0.0691492 410.691 -57.9544 199.234 388.137 -74.5499 200.369
0.862676 0.492991 0.112914 410.691 -57.9544 199.234 387.854 -80.7978 202.053
0.821923 0.539162 0.183704 415.144 -67.5257 207.003 387.351 -93.5261 205.245
0.803128 0.556106 0.213847 415.144 -67.5257 207.003 387.344 -99.3264 206.515
0.789161 0.570804 0.226731 419.58 -77.0564 215.126 387.613 -103.061 207.583
0.77526 0.581706 0.246149 419.58 -77.0564 215.126 387.851 -107.245 208.584
0.758513 0.593818 0.268399 419.58 -77.0564 215.126 388.007 -113.018 209.97
0.740314 0.610491 0.281489 423.997 -86.5319 223.609 388.228 -118.994 211.641
0.727125 0.618928 0.297014 423.997 -86.5319 223.609 388.471 -125.312 213.677
0.719905 0.62333 0.305281 423.997 -86.5319 223.609 388.555 -130.98 215.851
0.71173 0.633428 0.30366 428.39 -95.9376 232.453 388.478 -136.948 218.477
0.712298 0.633085 0.303043 428.39 -95.9376 232.453 388.305 -142.423 221.444
0.71274 0.637939 0.291609 432.757 -105.258 241.66 387.904 -147.515 224.566
0.719498 0.633604 0.284373 432.757 -105.258 241.66 387.41 -151.835 227.742
0.729348 0.627052 0.273601 432.757 -105.258 241.66 386.668 -155.963 231.171
0.737586 0.625659 0.254003 437.093 -114.479 251.234 385.837 -159.232 234.428
0.749726 0.616539 0.240397 437.093 -114.479 251.234 385.002 -162.319 237.919
0.76107 0.607557 0.227261 437.093 -114.479 251.234 384.156 -165.072 241.18
0.770477 0.599745 0.216035 437.093 -114.479 251.234 383.541 -167.311 244.037
0.775301 0.598795 0.200879 441.393 -123.584 261.174 383.118 -169.486 246.745
0.780107 0.594447 0.195106 441.393 -123.584 261.174 382.988 -171.598 249.22
0.782854 0.591916 0.191767 441.393 -123.584 261.174 383.082 -173.482 251.302
0.783928 0.590918 0.190454 441.393 -123.584 261.174 383.432 -175.442 253.307
0.783528 0.59129 0.190944 441.393 -123.584 261.174 383.989 -177.26 255.059
0.781642 0.593037 0.193243 441.393 -123.584 261.174 384.723 -178.803 256.43
0.775697 0.601478 0.191099 445.654 -132.557 271.48 385.651 -180.117 257.521
0.771954 0.604899 0.195407 445.654 -132.557 271.48 386.655 -181.001 258.298
0.768001 0.608451 0.199906 445.654 -132.557 271.48 387.645 -181.446 258.687
0.764028 0.611957 0.204376 445.654 -132.557 271.48 388.635 -181.53 258.811
0.759394 0.615971 0.209526 445.654 -132.557 271.48 389.847 -181.22 258.719
0.755011 0.619692 0.214335 445.654 -132.557 271.48 391.005 -180.605 258.429
0.75079 0.623211 0.218914 445.654 -132.557 271.48 392.321 -179.361 257.87
0.74684 0.626446 0.223149 445.654 -132.557 271.48 393.728 -177.437 256.974
0.746518 0.622936 0.233796 441.393 -123.584 261.174 395.144 -174.92 255.815
0.743819 0.625046 0.23675 441.393 -123.584 261.174 396.705 -171.465 254.314
0.741749 0.626647 0.239 441.393 -123.584 261.174 398.448 -167.162 252.521
0.740613 0.62752 0.240229 441.393 -123.584 261.174 400.225 -162.306 250.544
0.743467 0.621303 0.247468 437.093 -114.479 251.234 402.323 -156.306 248.217
0.743654 0.621163 0.247258 437.093 -114.479 251.234 404.637 -149.481 245.732
0.744723 0.620357 0.246058 437.093 -114.479 251.234 407.065 -142.447 243.297
0.750476 0.611985 0.24952 432.757 -105.258 241.66 409.822 -134.379 240.676
0.756592 0.607345 0.242282 432.757 -105.258 241.66 412.527 -126.037 238.107
0.774271 0.589688 0.229721 428.39 -95.9376 232.453 415.002 -117.897 235.84
0.80467 0.563056 0.188347 428.39 -95.9376 232.453 417.451 -109.205 233.604
0.870596 0.485657 0.0787348 428.39 -95.9376 232.453 419.506 -100.97 231.706
0.942157 0.166683 -0.290787 423.997 -86.5319 223.609 421.363 -92.5185 229.951
0.311658 -0.569563 -0.760571 423.997 -86.5319 223.609 422.872 -84.6255 228.474
-0.149177 -0.697204 -0.70118 419.58 -77.0564 215.126 423.973 -77.2207 227.337
-0.276839 -0.709324 -0.648243 419.58 -77.0564 215.126 424.74 -70.6683 226.598
-0.337125 -0.69667 -0.633244 415.144 -67.5257 207.003 425.242 -64.3198 225.773
-0.363729 -0.69651 -0.618527 415.144 -67.5257 207.003 425.459 -58.8741 224.901
-0.383372 -0.695971 -0.607166 415.144 -67.5257 207.003 425.584 -53.6362 223.853
-0.40857 -0.682226 -0.606332 410.691 -57.9544 199.234 425.629 -48.9684 222.491
-0.428107 -0.681204 -0.593873 410.691 -57.9544 199.234 425.644 -44.7437 220.988
-0.445196 -0.679994 -0.582588 410.691 -57.9544 199.234 425.61 -41.1883 219.472
-0.457061 -0.678976 -0.574532 410.691 -57.9544 199.234 425.362 -37.7127 217.883
-0.46782 -0.666425 -0.580536 406.224 -48.3562 191.815 424.824 -34.7022 216.405
-0.46639 -0.666543 -0.58155 406.224 -48.3562 191.815 423.949 -31.8452 214.937
-0.459855 -0.667056 -0.586148 406.224 -48.3562 191.815 422.831 -29.1276 213.505
-0.450759 -0.667695 -0.592452 406.224 -48.3562 191.815 421.676 -26.7683 212.249
-0.448178 -0.655857 -0.607444 401.745 -38.7446 184.742 420.384 -24.5967 210.819
-0.439338 -0.656198 -0.613503 401.745 -38.7446 184.742 419.046 -22.8919 209.403
-0.431059 -0.656448 -0.619084 401.745 -38.7446 184.742 417.773 -21.6772 208.048
-0.41992 -0.656679 -0.62645 401.745 -38.7446 184.742 416.399 -20.8616 206.722
