%Fx Fy Fz Xd Yd Zd Xr Yr Zr
%
-0.959789 0.280633 0 190.208 -1.1951 0 190.309 -1.22463 0
-0.959789 0.280633 0 190.208 -1.1951 0 190.309 -1.22463 0
-0.959789 0.280633 0 190.208 -1.1951 0 190.309 -1.22463 0
-0.959789 0.280633 0 190.208 -1.1951 0 190.309 -1.22463 0
-0.959789 0.280633 0 190.208 -1.1951 0 190.309 -1.22463 0
-0.959789 0.280633 0 190.208 -1.1951 0 190.309 -1.22463 0
-0.957879 0.281513 0.0562935 190.208 -1.1951 0 190.308 -1.22465 -0.00590953
-0.957879 0.281513 0.0562935 190.208 -1.1951 0 190.308 -1.22465 -0.00590953
-0.957879 0.281513 0.0562935 190.208 -1.1951 0 190.308 -1.22465 -0.00590953
-0.957879 0.281513 0.0562935 190.208 -1.1951 0 190.308 -1.22465 -0.00590953
-0.957879 0.281513 0.0562935 190.208 -1.1951 0 190.308 -1.22465 -0.00590953
-0.957879 0.281513 0.0562935 190.208 -1.1951 0 190.308 -1.22465 -0.00590953
-0.957879 0.281513 0.0562935 190.208 -1.1951 0 190.308 -1.22465 -0.00590953
-0.957879 0.281513 0.0562935 190.208 -1.1951 0 190.308 -1.22465 -0.00590953
-0.959789 0.280633 0 190.208 -1.1951 0 190.309 -1.22463 0
-0.959789 0.280633 0 190.208 -1.1951 0 190.309 -1.22463 0
-0.959789 0.280633 0 190.208 -1.1951 0 190.309 -1.22463 0
-0.959789 0.280633 0 190.208 -1.1951 0 190.309 -1.22463 0
-0.959789 0.280633 0 190.208 -1.1951 0 190.309 -1.22463 0
-0.959789 0.280633 0 190.208 -1.1951 0 190.309 -1.22463 0
-0.959789 0.280633 0 190.208 -1.1951 0 190.309 -1.22463 0
-0.959789 0.280633 0 190.208 -1.1951 0 190.309 -1.22463 0
-0.959789 0.280633 0 190.208 -1.1951 0 190.309 -1.22463 0
-0.959789 0.280633 0 190.208 -1.1951 0 190.309 -1.22463 0
-0.959789 0.280633 0 190.208 -1.1951 0 190.309 -1.22463 0
-0.959789 0.280633 0 190.208 -1.1951 0 190.309 -1.22463 0
-0.959789 0.280633 0 190.208 -1.1951 0 190.309 -1.22463 0
-0.959789 0.280633 0 190.208 -1.1951 0 190.309 -1.22463 0
-0.959789 0.280633 0 190.208 -1.1951 0 190.309 -1.22463 0
-0.959789 0.280633 0 190.208 -1.1951 0 190.309 -1.22463 0
-0.959789 0.280633 0 190.208 -1.1951 0 190.309 -1.22463 0
-0.959789 0.280633 0 190.208 -1.1951 0 190.309 -1.22463 0
-0.959789 0.280633 0 190.208 -1.1951 0 190.309 -1.22463 0
-0.963308 0.268288 0.00347678 190.208 -1.1951 0 190.314 -1.22463 -0.000382751
-0.966381 0.256944 0.00666472 190.208 -1.1951 0 190.319 -1.22463 -0.000766098
-0.977656 0.199965 0.0644983 190.208 -1.1951 0 190.323 -1.21875 -0.00762846
-0.968295 0.191436 0.160361 190.208 -1.1951 0 190.327 -1.21878 -0.0198346
-0.919825 0.221507 0.323746 190.208 -1.1951 0 190.331 -1.22473 -0.0433028
-0.878862 0.171598 0.445096 190.208 -1.1951 0 190.329 -1.21885 -0.0616056
-0.851189 0.16085 0.499577 190.208 -1.1951 0 190.333 -1.21886 -0.0738123
-0.852389 0.112552 0.510598 190.208 -1.1951 0 190.343 -1.21297 -0.0810655
-0.890251 0.135672 0.434641 190.208 -1.1951 0 190.363 -1.21886 -0.0761359
-0.90938 0.173715 0.37776 190.208 -1.1951 0 190.394 -1.23067 -0.0773495
-0.92974 0.149356 0.336395 190.208 -1.1951 0 190.429 -1.23067 -0.0801135
-0.94805 0.0861386 0.306056 190.208 -1.1951 0 190.469 -1.21886 -0.0844405
-0.960372 0.0186728 0.277894 190.208 -1.1951 0 190.519 -1.20116 -0.0901957
-0.971989 -0.043474 0.230764 190.208 -1.1951 0 190.6 -1.17755 -0.0931747
-0.971449 -0.107715 0.21114 190.208 -1.1951 0 190.685 -1.14214 -0.103811
-0.964309 -0.15622 0.213497 190.208 -1.1951 0 190.789 -1.10085 -0.128807
0.942569 -0.178484 0.281562 191.452 -1.1508 0 190.908 -1.04776 -0.16255
0.836394 -0.320499 0.443981 191.452 -1.1508 0 191.044 -0.994667 -0.216289
0.589129 -0.479268 0.650003 191.452 -1.1508 0 191.195 -0.941537 -0.283812
0.168296 -0.602322 0.779888 191.452 -1.1508 0 191.374 -0.87065 -0.36274
-0.216138 -0.599998 0.769964 191.452 -1.1508 0 191.581 -0.793762 -0.45818
-0.432087 -0.549258 0.715118 191.452 -1.1508 0 191.812 -0.692983 -0.596066
0.475228 -0.505853 0.71963 192.614 -1.10536 0 192.109 -0.568251 -0.764098
0.141581 -0.572108 0.807661 192.614 -1.10536 0 192.445 -0.425329 -0.960022
0.362714 0.384895 0.822677 193.292 0.237154 0 192.792 -0.294168 -1.13565
0.0531006 0.265111 0.941126 193.292 0.237154 0 193.217 -0.139105 -1.3357
-0.243466 0.131076 0.944855 193.292 0.237154 0 193.692 0.0221105 -1.55013
0.105635 0.000144989 0.982202 194.359 0.183416 0 194.17 0.183157 -1.75403
-0.166864 -0.0937202 0.971911 194.359 0.183416 0 194.697 0.373598 -1.97225
0.0618853 -0.194596 0.971552 195.334 0.129013 0 195.196 0.563478 -2.16914
-0.159016 -0.257714 0.947029 195.334 0.129013 0 195.734 0.776659 -2.37992
-0.0180975 -0.333313 0.937918 196.218 0.074028 0 196.267 0.989066 -2.57485
0.0878662 -0.387835 0.913785 197.01 0.0185223 0 196.746 1.18322 -2.74418
