%Fx Fy Fz Xd Yd Zd Xr Yr Zr
%
-0.999066 0.0078052 -0.042315 190.208 -1.1951 0 190.208 -1.1951 6.46279e-007
-0.999813 1.34673e-005 0.018135 190.208 -1.1951 0 190.216 -1.1951 -0.000160526
-0.999813 1.34673e-005 0.018135 190.208 -1.1951 0 190.216 -1.1951 -0.000160526
-0.999813 1.34673e-005 0.018135 190.208 -1.1951 0 190.216 -1.1951 -0.000160526
-0.999813 1.34673e-005 0.018135 190.208 -1.1951 0 190.216 -1.1951 -0.000160526
-0.999066 0.0078052 -0.042315 190.208 -1.1951 0 190.208 -1.1951 6.46279e-007
-0.999066 0.0078052 -0.042315 190.208 -1.1951 0 190.208 -1.1951 6.46279e-007
-0.999066 0.0078052 -0.042315 190.208 -1.1951 0 190.208 -1.1951 6.46279e-007
-0.999813 1.34673e-005 0.018135 190.208 -1.1951 0 190.216 -1.1951 -0.000160526
-0.999813 1.34673e-005 0.018135 190.208 -1.1951 0 190.216 -1.1951 -0.000160526
-0.69227 0.121902 0.711229 190.208 -1.1951 0 190.216 -1.19663 -0.00892003
-0.69227 0.121902 0.711229 190.208 -1.1951 0 190.216 -1.19663 -0.00892003
-0.69227 0.121902 0.711229 190.208 -1.1951 0 190.216 -1.19663 -0.00892003
-0.999813 1.34673e-005 0.018135 190.208 -1.1951 0 190.216 -1.1951 -0.000160526
-0.999813 1.34673e-005 0.018135 190.208 -1.1951 0 190.216 -1.1951 -0.000160526
-0.999813 1.34673e-005 0.018135 190.208 -1.1951 0 190.216 -1.1951 -0.000160526
-0.703296 -0.702906 0.106188 190.208 -1.1951 0 190.216 -1.18628 -0.00133164
0 -0.991285 0.131736 190.208 -1.1951 0 190.208 -1.18628 -0.00117142
0 -0.991285 0.131736 190.208 -1.1951 0 190.208 -1.18628 -0.00117142
-0.703296 -0.702906 0.106188 190.208 -1.1951 0 190.216 -1.18628 -0.00133164
-0.703296 -0.702906 0.106188 190.208 -1.1951 0 190.216 -1.18628 -0.00133164
-0.703296 -0.702906 0.106188 190.208 -1.1951 0 190.216 -1.18628 -0.00133164
-0.443182 -0.887557 0.125789 190.208 -1.1951 0 190.216 -1.17747 -0.00249894
-0.312655 -0.940845 0.130589 190.208 -1.1951 0 190.216 -1.16865 -0.003671
-0.192835 -0.972209 0.132749 190.208 -1.1951 0 190.216 -1.15102 -0.00601895
-0.121093 -0.983678 0.133095 190.208 -1.1951 0 190.216 -1.12457 -0.00954277
