%Fx Fy Fz Xd Yd Zd Xr Yr Zr
%
-0.18575 -0.843775 -0.503526 -461.059 184.251 1014.09 -461.043 184.324 1014.13
-0.0450801 -0.658379 -0.751335 -461.059 184.251 1014.09 -461.055 184.308 1014.15
-0.0450801 -0.658379 -0.751335 -461.059 184.251 1014.09 -461.055 184.308 1014.15
0.0479625 -0.812989 -0.580299 -461.059 184.251 1014.09 -461.062 184.303 1014.13
0.0479625 -0.812989 -0.580299 -461.059 184.251 1014.09 -461.062 184.303 1014.13
-0.0450801 -0.658379 -0.751335 -461.059 184.251 1014.09 -461.055 184.308 1014.15
-0.0965486 -0.552667 -0.82779 -461.059 184.251 1014.09 -461.048 184.314 1014.18
-0.348939 -0.309968 -0.884399 -461.059 184.251 1014.09 -461.012 184.293 1014.21
-0.329822 -0.286834 -0.899413 -461.059 184.251 1014.09 -461.005 184.298 1014.24
-0.430604 -0.140037 -0.891611 -461.059 184.251 1014.09 -460.961 184.283 1014.29
-0.409201 -0.144627 -0.900909 -461.059 184.251 1014.09 -460.954 184.288 1014.32
-0.452815 -0.212362 -0.865945 -461.059 184.251 1014.09 -460.935 184.309 1014.33
-0.432927 -0.209505 -0.876745 -461.059 184.251 1014.09 -460.928 184.314 1014.35
-0.416267 -0.207075 -0.885348 -461.059 184.251 1014.09 -460.921 184.32 1014.38
-0.330218 -0.287319 -0.899113 -461.059 184.251 1014.09 -460.95 184.346 1014.39
-0.330218 -0.287319 -0.899113 -461.059 184.251 1014.09 -460.95 184.346 1014.39
-0.330218 -0.287319 -0.899113 -461.059 184.251 1014.09 -460.95 184.346 1014.39
-0.330218 -0.287319 -0.899113 -461.059 184.251 1014.09 -460.95 184.346 1014.39
-0.330218 -0.287319 -0.899113 -461.059 184.251 1014.09 -460.95 184.346 1014.39
-0.316634 -0.271019 -0.909006 -461.059 184.251 1014.09 -460.936 184.356 1014.44
-0.311206 -0.264529 -0.912784 -461.059 184.251 1014.09 -460.929 184.361 1014.47
-0.302304 -0.253938 -0.918764 -461.059 184.251 1014.09 -460.915 184.372 1014.53
-0.269275 -0.214753 -0.938814 -461.059 184.251 1014.09 -460.927 184.356 1014.55
-0.269275 -0.214753 -0.938814 -461.059 184.251 1014.09 -460.927 184.356 1014.55
-0.271287 -0.217103 -0.937694 -461.059 184.251 1014.09 -460.934 184.351 1014.52
-0.273537 -0.219745 -0.936424 -461.059 184.251 1014.09 -460.941 184.345 1014.49
-0.273537 -0.219745 -0.936424 -461.059 184.251 1014.09 -460.941 184.345 1014.49
-0.237185 -0.17697 -0.955209 -461.059 184.251 1014.09 -460.961 184.324 1014.49
-0.237059 -0.176808 -0.95527 -461.059 184.251 1014.09 -460.975 184.314 1014.43
-0.190173 -0.122056 -0.974134 -461.059 184.251 1014.09 -460.994 184.293 1014.42
-0.280927 -0.0185719 -0.959549 -461.059 184.251 1014.09 -460.979 184.256 1014.36
-0.21939 0.0853044 -0.971901 -461.059 184.251 1014.09 -461.005 184.23 1014.33
-0.298091 0.0525229 -0.953091 -461.059 184.251 1014.09 -461 184.24 1014.28
-0.785184 -0.0394621 -0.618003 -461.059 184.251 1014.09 -460.941 184.257 1014.18
-0.922898 -0.383838 -0.0303696 -461.059 184.251 1014.09 -460.892 184.32 1014.09
-0.783908 -0.538828 0.308455 -461.059 184.251 1014.09 -460.812 184.421 1013.99
-0.717589 -0.591306 0.367988 -461.059 184.251 1014.09 -460.724 184.527 1013.92
-0.671532 -0.614624 0.413853 -461.059 184.251 1014.09 -460.624 184.649 1013.82
-0.666545 -0.599994 0.442399 -461.059 184.251 1014.09 -460.451 184.798 1013.69
-0.734127 -0.546272 0.403284 -461.059 184.251 1014.09 -460.113 184.955 1013.57
-0.751872 -0.560055 0.347886 -461.059 184.251 1014.09 -459.819 185.175 1013.52
-0.760461 -0.581006 0.290053 -461.059 184.251 1014.09 -459.59 185.373 1013.53
-0.764739 -0.597844 0.240328 -461.059 184.251 1014.09 -459.341 185.594 1013.55
-0.787364 -0.590765 0.176215 -461.059 184.251 1014.09 -459 185.796 1013.63
-0.826964 -0.556364 0.0811496 -461.059 184.251 1014.09 -458.535 185.949 1013.84
-0.866794 -0.498389 -0.0163653 -461.059 184.251 1014.09 -457.871 186.084 1014.15
-0.880673 -0.46326 -0.0989804 -461.059 184.251 1014.09 -457.201 186.28 1014.52
-0.879668 -0.41993 -0.223236 -461.059 184.251 1014.09 -455.846 186.739 1015.41
-0.869808 -0.416526 -0.264448 -461.059 184.251 1014.09 -455.331 186.994 1015.83
-0.851958 -0.427107 -0.302887 -461.059 184.251 1014.09 -454.686 187.446 1016.35
-0.824541 -0.446188 -0.347911 -461.059 184.251 1014.09 -453.85 188.152 1017.13
-0.795894 -0.469879 -0.381785 -461.059 184.251 1014.09 -453.072 188.966 1017.92
-0.770955 -0.488832 -0.408247 -461.059 184.251 1014.09 -452.356 189.769 1018.7
-0.746824 -0.50988 -0.42693 -461.059 184.251 1014.09 -451.656 190.671 1019.46
-0.722461 -0.533507 -0.439789 -461.059 184.251 1014.09 -451.049 191.643 1020.18
-0.697609 -0.558155 -0.44922 -461.059 184.251 1014.09 -450.578 192.637 1020.84
-0.668589 -0.588426 -0.454682 -461.059 184.251 1014.09 -450.215 193.795 1021.46
-0.637998 -0.617633 -0.459871 -461.059 184.251 1014.09 -449.97 194.986 1022.08
-0.609888 -0.644763 -0.460771 -461.059 184.251 1014.09 -449.822 196.13 1022.58
-0.582131 -0.671873 -0.457935 -461.059 184.251 1014.09 -449.727 197.33 1023
-0.551391 -0.701578 -0.451385 -461.059 184.251 1014.09 -449.823 198.548 1023.29
-0.525238 -0.726979 -0.44229 -461.059 184.251 1014.09 -449.958 199.615 1023.44
-0.500509 -0.751237 -0.430264 -461.059 184.251 1014.09 -450.147 200.629 1023.47
-0.470405 -0.777001 -0.41831 -461.059 184.251 1014.09 -450.517 201.664 1023.46
-0.447987 -0.795495 -0.408031 -461.059 184.251 1014.09 -450.882 202.322 1023.36
-0.420732 -0.817654 -0.392963 -461.059 184.251 1014.09 -451.376 203.068 1023.13
-0.392747 -0.838741 -0.37717 -461.059 184.251 1014.09 -451.974 203.653 1022.81
-0.366306 -0.856735 -0.363069 -461.059 184.251 1014.09 -452.593 204.051 1022.48
-0.336763 -0.875364 -0.346875 -461.059 184.251 1014.09 -453.302 204.413 1022.08
-0.308021 -0.891035 -0.333425 -461.059 184.251 1014.09 -453.998 204.677 1021.73
-0.284705 -0.90145 -0.326072 -461.059 184.251 1014.09 -454.572 204.789 1021.52
-0.264313 -0.90913 -0.321889 -461.059 184.251 1014.09 -455.085 204.8 1021.36
-0.251059 -0.913141 -0.321143 -461.059 184.251 1014.09 -455.435 204.706 1021.28
-0.246607 -0.913266 -0.324223 -461.059 184.251 1014.09 -455.596 204.482 1021.27
-0.24666 -0.910124 -0.332901 -461.059 184.251 1014.09 -455.654 204.193 1021.38
-0.253256 -0.903445 -0.345888 -461.059 184.251 1014.09 -455.55 203.904 1021.61
-0.262784 -0.894042 -0.362797 -461.059 184.251 1014.09 -455.359 203.642 1021.96
-0.274551 -0.881382 -0.384417 -461.059 184.251 1014.09 -455.097 203.391 1022.44
-0.290228 -0.865005 -0.409297 -461.059 184.251 1014.09 -454.72 203.142 1023.03
-0.306665 -0.84772 -0.432801 -461.059 184.251 1014.09 -454.297 202.943 1023.63
-0.321723 -0.827259 -0.460571 -461.059 184.251 1014.09 -453.836 202.822 1024.43
-0.337644 -0.803041 -0.491031 -461.059 184.251 1014.09 -453.292 202.724 1025.39
-0.351889 -0.77783 -0.520716 -461.059 184.251 1014.09 -452.749 202.621 1026.39
-0.36851 -0.750161 -0.549045 -461.059 184.251 1014.09 -452.073 202.542 1027.48
-0.384029 -0.723164 -0.574062 -461.059 184.251 1014.09 -451.371 202.494 1028.57
-0.39622 -0.699771 -0.594409 -461.059 184.251 1014.09 -450.725 202.502 1029.59
-0.405647 -0.676479 -0.61467 -461.059 184.251 1014.09 -450.088 202.547 1030.71
-0.409269 -0.659153 -0.63088 -461.059 184.251 1014.09 -449.589 202.724 1031.77
-0.409152 -0.645647 -0.64477 -461.059 184.251 1014.09 -449.222 202.93 1032.74
-0.406132 -0.633234 -0.658837 -461.059 184.251 1014.09 -448.934 203.156 1033.76
-0.40066 -0.623462 -0.671388 -461.059 184.251 1014.09 -448.784 203.352 1034.66
-0.394171 -0.61257 -0.685114 -461.059 184.251 1014.09 -448.673 203.5 1035.62
-0.388503 -0.601643 -0.697915 -461.059 184.251 1014.09 -448.575 203.583 1036.52
-0.38137 -0.591895 -0.710079 -461.059 184.251 1014.09 -448.581 203.617 1037.32
-0.371957 -0.582815 -0.722475 -461.059 184.251 1014.09 -448.748 203.541 1038
-0.362806 -0.572643 -0.735151 -461.059 184.251 1014.09 -449.014 203.262 1038.5
-0.35313 -0.563974 -0.746477 -461.059 184.251 1014.09 -449.394 202.88 1038.75
-0.342247 -0.557004 -0.756709 -461.059 184.251 1014.09 -449.941 202.345 1038.67
-0.330698 -0.551185 -0.766047 -461.059 184.251 1014.09 -450.635 201.625 1038.24
-0.317663 -0.545456 -0.775604 -461.059 184.251 1014.09 -451.465 200.725 1037.51
-0.302449 -0.54074 -0.784931 -461.059 184.251 1014.09 -452.463 199.619 1036.4
-0.283284 -0.534478 -0.796288 -461.059 184.251 1014.09 -453.6 198.324 1035.06
-0.260917 -0.528867 -0.807596 -461.059 184.251 1014.09 -454.765 197.009 1033.57
-0.22996 -0.524794 -0.81957 -461.059 184.251 1014.09 -456.084 195.604 1031.82
-0.187396 -0.519599 -0.833594 -461.059 184.251 1014.09 -457.479 194.178 1030.01
-0.132595 -0.515434 -0.846593 -461.059 184.251 1014.09 -458.834 192.902 1028.3
-0.0586585 -0.506092 -0.86046 -461.059 184.251 1014.09 -460.213 191.549 1026.5
0.0442856 -0.495062 -0.867699 -461.059 184.251 1014.09 -461.6 190.303 1024.7
0.167733 -0.475012 -0.863806 -461.059 184.251 1014.09 -462.816 189.226 1023.14
0.330517 -0.436001 -0.837 -461.059 184.251 1014.09 -464.021 188.159 1021.59
0.514241 -0.376228 -0.770644 -461.059 184.251 1014.09 -465.138 187.235 1020.2
0.671451 -0.301295 -0.676931 -461.059 184.251 1014.09 -466.025 186.479 1019.1
0.803315 -0.225828 -0.550942 -461.059 184.251 1014.09 -466.867 185.884 1018.07
0.888955 -0.158207 -0.429629 -461.059 184.251 1014.09 -467.581 185.412 1017.24
0.933895 -0.113568 -0.338828 -461.059 184.251 1014.09 -468.169 185.116 1016.67
0.958498 -0.0750774 -0.274809 -461.059 184.251 1014.09 -468.664 184.847 1016.27
0.967982 -0.0547334 -0.244744 -461.059 184.251 1014.09 -468.926 184.696 1016.08
0.968392 -0.0507905 -0.243982 -461.059 184.251 1014.09 -469.005 184.668 1016.09
0.961289 -0.0619827 -0.268277 -461.059 184.251 1014.09 -468.908 184.757 1016.28
0.947478 -0.0824706 -0.308826 -461.059 184.251 1014.09 -468.686 184.915 1016.58
0.927737 -0.114338 -0.355131 -461.059 184.251 1014.09 -468.386 185.154 1016.89
0.898046 -0.154383 -0.411787 -461.059 184.251 1014.09 -468.075 185.457 1017.31
0.862235 -0.204819 -0.463136 -461.059 184.251 1014.09 -467.748 185.84 1017.68
0.815099 -0.260596 -0.517308 -461.059 184.251 1014.09 -467.414 186.283 1018.12
0.761048 -0.303728 -0.573121 -461.059 184.251 1014.09 -467.084 186.656 1018.63
0.691413 -0.346866 -0.633681 -461.059 184.251 1014.09 -466.663 187.062 1019.23
0.621208 -0.388516 -0.680504 -461.059 184.251 1014.09 -466.199 187.466 1019.72
0.383771 -0.561811 -0.732829 -461.059 184.251 1014.09 -464.49 189.273 1020.64
0.159976 -0.653535 -0.739776 -461.059 184.251 1014.09 -462.736 191.102 1021.84
0.0221109 -0.68268 -0.730365 -461.059 184.251 1014.09 -461.327 192.52 1022.94
-0.076469 -0.687872 -0.721774 -461.059 184.251 1014.09 -460.01 193.69 1023.99
-0.144699 -0.67002 -0.728085 -461.059 184.251 1014.09 -458.905 194.225 1024.93
-0.177387 -0.647844 -0.740813 -461.059 184.251 1014.09 -458.331 194.212 1025.48
-0.18139 -0.622304 -0.76145 -461.059 184.251 1014.09 -458.266 193.833 1025.81
-0.174475 -0.587006 -0.790539 -461.059 184.251 1014.09 -458.413 193.152 1026.08
-0.18204 -0.547394 -0.816817 -461.059 184.251 1014.09 -458.335 192.443 1026.31
-0.209191 -0.506587 -0.836407 -461.059 184.251 1014.09 -457.98 191.707 1026.4
-0.25038 -0.465909 -0.84865 -461.059 184.251 1014.09 -457.427 191.009 1026.4
-0.294054 -0.421976 -0.857575 -461.059 184.251 1014.09 -456.852 190.288 1026.36
-0.329658 -0.369828 -0.86863 -461.059 184.251 1014.09 -456.447 189.425 1026.24
-0.358806 -0.318214 -0.877473 -461.059 184.251 1014.09 -456.191 188.568 1025.99
-0.37255 -0.271344 -0.887432 -461.059 184.251 1014.09 -456.203 187.787 1025.66
-0.381907 -0.225367 -0.896273 -461.059 184.251 1014.09 -456.333 187.04 1025.18
-0.383 -0.190805 -0.903795 -461.059 184.251 1014.09 -456.634 186.455 1024.53
-0.387661 -0.162875 -0.90726 -461.059 184.251 1014.09 -456.876 186.008 1023.88
-0.409998 -0.151028 -0.899447 -461.059 184.251 1014.09 -456.925 185.774 1023.16
-0.446838 -0.160772 -0.879985 -461.059 184.251 1014.09 -456.782 185.79 1022.51
-0.482996 -0.188938 -0.854914 -461.059 184.251 1014.09 -456.529 186.023 1022.11
-0.517828 -0.231569 -0.823451 -461.059 184.251 1014.09 -456.146 186.448 1021.9
-0.552865 -0.279488 -0.784894 -461.059 184.251 1014.09 -455.592 187.015 1021.85
