%Fx Fy Fz Xd Yd Zd Xr Yr Zr
%
0.741018 -0.378884 -0.554367 -461.059 184.251 1014.09 -461.116 184.28 1014.13
0.6531 -0.224111 -0.723335 -461.059 184.251 1014.09 -461.127 184.274 1014.16
0.545475 0.0375337 -0.837273 -461.059 184.251 1014.09 -461.13 184.246 1014.2
0.635865 0.103645 -0.764797 -461.059 184.251 1014.09 -461.156 184.235 1014.21
0.501106 0.0631717 -0.863068 -461.059 184.251 1014.09 -461.141 184.24 1014.23
0.17414 -0.0266527 -0.984356 -461.059 184.251 1014.09 -461.097 184.257 1014.31
-0.0185778 -0.0754528 -0.996974 -461.059 184.251 1014.09 -461.053 184.273 1014.38
-0.132268 -0.102934 -0.985853 -461.059 184.251 1014.09 -461.009 184.289 1014.46
-0.204434 -0.119871 -0.971512 -461.059 184.251 1014.09 -460.965 184.306 1014.53
-0.148312 -0.147469 -0.977883 -461.059 184.251 1014.09 -460.986 184.323 1014.57
-0.148312 -0.147469 -0.977883 -461.059 184.251 1014.09 -460.986 184.323 1014.57
-0.146195 -0.0954484 -0.984639 -461.059 184.251 1014.09 -460.992 184.295 1014.54
-0.0933249 -0.0813863 -0.992302 -461.059 184.251 1014.09 -461.021 184.284 1014.49
0.0321937 -0.101579 -0.994305 -461.059 184.251 1014.09 -461.071 184.29 1014.47
0.120276 -0.127936 -0.98446 -461.059 184.251 1014.09 -461.107 184.302 1014.48
0.237917 -0.0692215 -0.968813 -461.059 184.251 1014.09 -461.16 184.28 1014.5
0.355154 -0.0660295 -0.93247 -461.059 184.251 1014.09 -461.222 184.281 1014.52
0.495302 -0.053332 -0.867079 -461.059 184.251 1014.09 -461.298 184.277 1014.51
0.626833 -0.0551905 -0.777192 -461.059 184.251 1014.09 -461.363 184.278 1014.47
0.783944 -0.132608 -0.606498 -461.059 184.251 1014.09 -461.462 184.319 1014.4
0.923329 -0.161905 -0.3482 -461.059 184.251 1014.09 -461.553 184.338 1014.28
0.979037 -0.175966 -0.102547 -461.059 184.251 1014.09 -461.645 184.356 1014.15
0.981704 -0.0963428 0.164227 -461.059 184.251 1014.09 -461.747 184.318 1013.97
0.928361 0.0163209 0.371317 -461.059 184.251 1014.09 -461.896 184.236 1013.75
0.866663 0.0740224 0.49337 -461.059 184.251 1014.09 -462.003 184.17 1013.55
0.807128 0.0879494 0.583788 -461.059 184.251 1014.09 -462.093 184.138 1013.34
0.762655 0.119292 0.635709 -461.059 184.251 1014.09 -462.199 184.073 1013.14
0.73269 0.106937 0.672108 -461.059 184.251 1014.09 -462.269 184.074 1012.98
0.715194 0.11339 0.689667 -461.059 184.251 1014.09 -462.341 184.048 1012.85
0.688602 0.0955271 0.718819 -461.059 184.251 1014.09 -462.356 184.071 1012.74
0.668465 0.0771555 0.73973 -461.059 184.251 1014.09 -462.449 184.09 1012.55
0.663938 0.0800512 0.74349 -461.059 184.251 1014.09 -462.478 184.08 1012.5
0.653238 0.103991 0.749977 -461.059 184.251 1014.09 -462.488 184.023 1012.45
0.644528 0.126039 0.754121 -461.059 184.251 1014.09 -462.484 183.972 1012.42
0.633792 0.14799 0.759214 -461.059 184.251 1014.09 -462.494 183.916 1012.37
0.621883 0.154223 0.767773 -461.059 184.251 1014.09 -462.458 183.904 1012.36
0.608112 0.160761 0.777403 -461.059 184.251 1014.09 -462.437 183.887 1012.33
0.604379 0.170973 0.778135 -461.059 184.251 1014.09 -462.428 183.864 1012.33
0.602017 0.181179 0.777657 -461.059 184.251 1014.09 -462.404 183.846 1012.35
0.6067 0.195382 0.770545 -461.059 184.251 1014.09 -462.421 183.812 1012.36
0.608232 0.195573 0.769288 -461.059 184.251 1014.09 -462.407 183.818 1012.38
0.618417 0.199663 0.760062 -461.059 184.251 1014.09 -462.419 183.812 1012.42
0.629024 0.192911 0.753069 -461.059 184.251 1014.09 -462.469 183.819 1012.4
0.633549 0.196328 0.748378 -461.059 184.251 1014.09 -462.524 183.797 1012.36
0.630095 0.195976 0.751381 -461.059 184.251 1014.09 -462.552 183.786 1012.31
0.632033 0.186173 0.752245 -461.059 184.251 1014.09 -462.576 183.804 1012.28
0.630358 0.186123 0.753661 -461.059 184.251 1014.09 -462.591 183.799 1012.26
0.63386 0.176598 0.753015 -461.059 184.251 1014.09 -462.6 183.822 1012.26
0.63556 0.176528 0.751598 -461.059 184.251 1014.09 -462.586 183.827 1012.28
0.63731 0.176459 0.750131 -461.059 184.251 1014.09 -462.571 183.832 1012.31
0.640806 0.166692 0.749385 -461.059 184.251 1014.09 -462.581 183.855 1012.31
0.652236 0.170069 0.738689 -461.059 184.251 1014.09 -462.578 183.855 1012.37
0.662442 0.183706 0.726237 -461.059 184.251 1014.09 -462.552 183.837 1012.45
0.669005 0.18369 0.720199 -461.059 184.251 1014.09 -462.509 183.853 1012.53
