%Epsilons: 1) 1, 2) 5.5, 3) 10
%Fx Fy Fz Xd Yd Zd Xr Yr Zr
%
-0.712381 0.41573 0.565404 190.208 -1.1951 0 190.232 -1.20908 -0.0190137
-0.800539 0.374332 0.467988 190.208 -1.1951 0 190.254 -1.21683 -0.0271619
-0.836936 0.333359 0.434061 190.208 -1.1951 0 190.301 -1.23231 -0.0484555
-0.854088 0.342819 0.391163 190.208 -1.1951 0 190.361 -1.25672 -0.0703099
-0.86749 0.378937 0.322286 190.208 -1.1951 0 190.445 -1.29898 -0.0883496
-0.855177 0.389255 0.342276 190.208 -1.1951 0 190.559 -1.35524 -0.140813
-0.841054 0.402732 0.361158 190.208 -1.1951 0 190.673 -1.4178 -0.199714
-0.833506 0.400625 0.380483 190.208 -1.1951 0 190.78 -1.47025 -0.261314
-0.82454 0.402153 0.398003 190.208 -1.1951 0 190.882 -1.52394 -0.325447
-0.8138 0.400483 0.421122 190.208 -1.1951 0 190.977 -1.57379 -0.398206
-0.806568 0.403664 0.43186 190.208 -1.1951 0 191.056 -1.61981 -0.454374
-0.804428 0.408475 0.431328 190.208 -1.1951 0 191.125 -1.66075 -0.491708
-0.799761 0.419335 0.429582 190.208 -1.1951 0 191.161 -1.69521 -0.512336
-0.79097 0.430856 0.43443 190.208 -1.1951 0 191.168 -1.71806 -0.527305
-0.785466 0.437696 0.437567 190.208 -1.1951 0 191.16 -1.72562 -0.530363
-0.782005 0.441714 0.439724 190.208 -1.1951 0 191.142 -1.72296 -0.525486
-0.782006 0.445151 0.436242 190.208 -1.1951 0 191.128 -1.71909 -0.513502
-0.781423 0.4444 0.438049 190.208 -1.1951 0 191.113 -1.71011 -0.507648
-0.783375 0.44438 0.434568 190.208 -1.1951 0 191.106 -1.70501 -0.498651
-0.784758 0.450127 0.426075 190.208 -1.1951 0 191.105 -1.71011 -0.487489
-0.788368 0.449383 0.420155 190.208 -1.1951 0 191.109 -1.70888 -0.480369
-0.790049 0.459361 0.405968 190.208 -1.1951 0 191.109 -1.71909 -0.463083
-0.793479 0.465549 0.391989 190.208 -1.1951 0 191.116 -1.72807 -0.448755
-0.793527 0.476538 0.378453 190.208 -1.1951 0 191.121 -1.74337 -0.435423
-0.794889 0.490123 0.357673 190.208 -1.1951 0 191.136 -1.76767 -0.417841
-0.796339 0.500583 0.339501 190.208 -1.1951 0 191.149 -1.78686 -0.40134
-0.796132 0.518448 0.312068 190.208 -1.1951 0 191.183 -1.83039 -0.382398
-0.797229 0.520627 0.305572 190.208 -1.1951 0 191.194 -1.83939 -0.378152
-0.798262 0.522743 0.299195 190.208 -1.1951 0 191.205 -1.84838 -0.373911
-0.800491 0.523428 0.291953 190.208 -1.1951 0 191.226 -1.86126 -0.371568
-0.802926 0.520754 0.290043 190.208 -1.1951 0 191.247 -1.86903 -0.37536
-0.806627 0.513967 0.291874 190.208 -1.1951 0 191.261 -1.86657 -0.381319
-0.810056 0.491506 0.319736 190.208 -1.1951 0 191.262 -1.83466 -0.416048
-0.810829 0.478703 0.33675 190.208 -1.1951 0 191.256 -1.81421 -0.435526
-0.812973 0.465544 0.349776 190.208 -1.1951 0 191.244 -1.78867 -0.445966
-0.817644 0.436952 0.374874 190.208 -1.1951 0 191.23 -1.74148 -0.468757
-0.820463 0.394151 0.414108 190.208 -1.1951 0 191.196 -1.67007 -0.499017
-0.823983 0.342643 0.451273 190.208 -1.1951 0 191.163 -1.59241 -0.523279
-0.821728 0.265859 0.504066 190.208 -1.1951 0 191.117 -1.48943 -0.558057
-0.796849 0.20623 0.567892 190.208 -1.1951 0 191.057 -1.37264 -0.598239
-0.752128 0.194654 0.629614 190.208 -1.1951 0 191 -1.24348 -0.631549
-0.683752 0.176955 0.707934 190.208 -1.1951 0 190.925 -1.09562 -0.671482
-0.597908 0.154735 0.786488 190.208 -1.1951 0 190.848 -0.93683 -0.706733
-0.487255 0.126091 0.864108 190.208 -1.1951 0 190.766 -0.779697 -0.749271
-0.347706 0.0899733 0.933277 190.208 -1.1951 0 190.677 -0.60172 -0.794466
-0.189445 0.0490075 0.980668 190.208 -1.1951 0 190.586 -0.401845 -0.840351
-0.00929791 0.00237881 0.999954 190.208 -1.1951 0 190.478 -0.182764 -0.881229
0.151875 -0.0393351 0.987617 190.208 -1.1951 0 190.377 0.0429368 -0.919618
0.299535 -0.0775545 0.950928 190.208 -1.1951 0 190.272 0.301115 -0.959343
0.418676 -0.108393 0.901644 190.208 -1.1951 0 190.172 0.565634 -0.991834
0.521847 -0.135095 0.842273 190.208 -1.1951 0 190.063 0.855965 -1.02196
0.601135 -0.155616 0.78385 190.208 -1.1951 0 189.956 1.15721 -1.05124
0.654158 -0.169342 0.737158 190.208 -1.1951 0 189.87 1.44518 -1.07849
0.722938 -0.187143 0.665085 190.208 -1.1951 0 189.708 2.00917 -1.14538
0.739309 -0.191379 0.645597 190.208 -1.1951 0 189.659 2.18096 -1.16427
0.760624 -0.196897 0.618613 190.208 -1.1951 0 189.594 2.43274 -1.18326
0.77187 -0.199808 0.603567 190.208 -1.1951 0 189.559 2.60755 -1.19666
0.783882 -0.202917 0.586816 190.208 -1.1951 0 189.514 2.84048 -1.21913
0.794672 -0.205711 0.571122 190.208 -1.1951 0 189.464 3.09882 -1.24931
0.809493 -0.209547 0.548463 190.208 -1.1951 0 189.413 3.55573 -1.2853
0.81296 -0.210445 0.542963 190.208 -1.1951 0 189.41 3.69874 -1.29187
0.815636 -0.21114 0.538663 190.208 -1.1951 0 189.421 3.83994 -1.29323
0.819529 -0.212147 0.532321 190.208 -1.1951 0 189.434 3.99319 -1.28851
