%Epsilons: 1) 4.78, 2) 26.29, 3) 47.8
%Fx Fy Fz Xd Yd Zd Xr Yr Zr
%
-0.294305 0.570637 0.766654 1043.2 691.882 232.129 1043.22 691.851 232.087
-0.637589 0.637589 0.43239 1043.2 691.882 232.129 1043.25 691.833 232.096
-0.668176 0.484113 0.564956 1043.2 691.882 232.129 1043.33 691.788 232.02
-0.697467 0.559523 0.447742 1043.2 691.882 232.129 1043.46 691.674 231.963
-0.734351 0.502982 0.455782 1043.2 691.882 232.129 1043.61 691.605 231.878
-0.708914 0.542986 0.450119 1043.2 691.882 232.129 1043.75 691.461 231.78
-0.685313 0.577143 0.444131 1043.2 691.882 232.129 1043.96 691.249 231.642
-0.632296 0.620787 0.463492 1043.2 691.882 232.129 1044.13 690.97 231.448
-0.587095 0.6592 0.469867 1043.2 691.882 232.129 1044.29 690.657 231.256
-0.528191 0.706425 0.471145 1043.2 691.882 232.129 1044.46 690.207 231.012
-0.487474 0.730835 0.477753 1043.2 691.882 232.129 1044.63 689.747 230.733
-0.440189 0.751567 0.491305 1043.2 691.882 232.129 1044.71 689.307 230.446
-0.417098 0.764012 0.492256 1043.2 691.882 232.129 1044.85 688.875 230.192
-0.410534 0.767444 0.492435 1043.2 691.882 232.129 1045.01 688.501 229.96
-0.406098 0.76781 0.495531 1043.2 691.882 232.129 1045.15 688.208 229.758
-0.407715 0.765906 0.497149 1043.2 691.882 232.129 1045.28 687.98 229.597
-0.410217 0.764739 0.496887 1043.2 691.882 232.129 1045.38 687.823 229.492
-0.423089 0.762051 0.490177 1043.2 691.882 232.129 1045.48 687.784 229.493
-0.437251 0.759161 0.482169 1043.2 691.882 232.129 1045.53 687.835 229.559
-0.457562 0.75617 0.467808 1043.2 691.882 232.129 1045.59 687.94 229.691
-0.478995 0.751903 0.452997 1043.2 691.882 232.129 1045.63 688.066 229.83
-0.510859 0.741318 0.435281 1043.2 691.882 232.129 1045.72 688.229 229.984
-0.533003 0.732996 0.42264 1043.2 691.882 232.129 1045.78 688.344 230.089
-0.5463 0.72647 0.416891 1043.2 691.882 232.129 1045.78 688.452 230.161
-0.567255 0.715638 0.407534 1043.2 691.882 232.129 1045.86 688.537 230.224
-0.580409 0.708924 0.40069 1043.2 691.882 232.129 1045.87 688.625 230.288
-0.583811 0.708751 0.396026 1043.2 691.882 232.129 1045.85 688.675 230.337
-0.588353 0.707549 0.391426 1043.2 691.882 232.129 1045.81 688.746 230.394
-0.581556 0.714463 0.389017 1043.2 691.882 232.129 1045.75 688.758 230.428
-0.569529 0.72313 0.390795 1043.2 691.882 232.129 1045.66 688.768 230.446
-0.554686 0.730784 0.397842 1043.2 691.882 232.129 1045.58 688.747 230.422
-0.538153 0.742781 0.39833 1043.2 691.882 232.129 1045.53 688.675 230.409
-0.52646 0.750079 0.400276 1043.2 691.882 232.129 1045.49 688.618 230.387
-0.515624 0.756417 0.40245 1043.2 691.882 232.129 1045.45 688.58 230.372
-0.515624 0.756417 0.40245 1043.2 691.882 232.129 1045.45 688.58 230.372
-0.515624 0.756417 0.40245 1043.2 691.882 232.129 1045.45 688.58 230.372
-0.5104 0.757764 0.406554 1043.2 691.882 232.129 1045.43 688.577 230.356
-0.515624 0.756417 0.40245 1043.2 691.882 232.129 1045.45 688.58 230.372
-0.520002 0.755758 0.39803 1043.2 691.882 232.129 1045.49 688.564 230.381
-0.525399 0.757141 0.388193 1043.2 691.882 232.129 1045.51 688.557 230.424
-0.525896 0.76261 0.376643 1043.2 691.882 232.129 1045.51 688.537 230.477
-0.526332 0.767948 0.365007 1043.2 691.882 232.129 1045.51 688.517 230.53
-0.530834 0.772236 0.349094 1043.2 691.882 232.129 1045.54 688.48 230.591
-0.525335 0.781925 0.335586 1043.2 691.882 232.129 1045.53 688.426 230.646
-0.518961 0.794135 0.316274 1043.2 691.882 232.129 1045.52 688.342 230.719
-0.506757 0.809884 0.29544 1043.2 691.882 232.129 1045.49 688.224 230.795
-0.494468 0.824572 0.274923 1043.2 691.882 232.129 1045.47 688.106 230.87
-0.4816 0.838433 0.255132 1043.2 691.882 232.129 1045.45 687.968 230.938
-0.463494 0.854521 0.23445 1043.2 691.882 232.129 1045.42 687.795 231.008
-0.446593 0.868922 0.213377 1043.2 691.882 232.129 1045.37 687.663 231.093
-0.429508 0.882112 0.193393 1043.2 691.882 232.129 1045.33 687.511 231.171
-0.407941 0.896645 0.172083 1043.2 691.882 232.129 1045.27 687.344 231.258
-0.392182 0.90624 0.157868 1043.2 691.882 232.129 1045.22 687.222 231.317
-0.363026 0.919985 0.147786 1043.2 691.882 232.129 1045.09 687.098 231.361
-0.344063 0.927942 0.143334 1043.2 691.882 232.129 1045.03 686.962 231.369
-0.316118 0.938554 0.138512 1043.2 691.882 232.129 1044.9 686.848 231.386
-0.279745 0.949833 0.139856 1043.2 691.882 232.129 1044.72 686.727 231.37
-0.251906 0.956119 0.149596 1043.2 691.882 232.129 1044.55 686.605 231.354
-0.229123 0.958166 0.171522 1043.2 691.882 232.129 1044.34 686.48 231.321
-0.201599 0.959349 0.197503 1043.2 691.882 232.129 1044.09 686.337 231.281
-0.16681 0.958896 0.229548 1043.2 691.882 232.129 1043.78 686.227 231.224
-0.129081 0.956027 0.263346 1043.2 691.882 232.129 1043.49 686.151 231.103
-0.0772744 0.948178 0.308201 1043.2 691.882 232.129 1043.1 686.06 230.915
-0.0317619 0.937647 0.346136 1043.2 691.882 232.129 1042.76 685.988 230.733
0.00465766 0.926795 0.375539 1043.2 691.882 232.129 1042.47 685.868 230.579
0.0284676 0.918548 0.394283 1043.2 691.882 232.129 1042.25 685.738 230.468
0.0422174 0.913362 0.404954 1043.2 691.882 232.129 1042.07 685.637 230.459
0.047121 0.911442 0.40872 1043.2 691.882 232.129 1041.95 685.567 230.509
0.046617 0.91164 0.408337 1043.2 691.882 232.129 1041.87 685.525 230.601
0.0489826 0.910699 0.410156 1043.2 691.882 232.129 1041.74 685.511 230.718
0.0494227 0.910526 0.410487 1043.2 691.882 232.129 1041.64 685.455 230.82
