%Epsilons: 1) 1, 2) 5.5, 3) 10
%Fx Fy Fz Xd Yd Zd Xr Yr Zr
%
-0.666374 -0.724364 0.176754 82.4782 144.6 0 82.4884 144.6 -0.00132551
-0.67533 -0.73457 0.0658496 82.4782 144.6 0 82.4999 144.606 -0.0012721
-0.671948 -0.730361 0.122715 82.4782 144.6 0 82.529 144.631 -0.00713244
-0.668037 -0.726211 0.162306 82.4782 144.6 0 82.5553 144.661 -0.0160283
-0.558931 -0.747838 0.358239 82.4782 144.6 0 82.5723 144.726 -0.0603322
-0.418352 -0.790105 0.448012 82.4782 144.6 0 82.5884 144.808 -0.118093
-0.313644 -0.787603 0.530386 82.4782 144.6 0 82.6021 144.911 -0.209652
-0.241988 -0.771206 0.588798 82.4782 144.6 0 82.6061 145.007 -0.311386
-0.21316 -0.747203 0.629484 82.4782 144.6 0 82.622 145.104 -0.424698
-0.193336 -0.724663 0.661426 82.4782 144.6 0 82.6345 145.186 -0.534862
-0.189046 -0.69452 0.694193 82.4782 144.6 0 82.6561 145.253 -0.653273
-0.195239 -0.669978 0.716248 82.4782 144.6 0 82.6821 145.299 -0.748062
-0.195246 -0.646939 0.737122 82.4782 144.6 0 82.699 145.331 -0.833809
-0.189677 -0.631198 0.752071 82.4782 144.6 0 82.7064 145.359 -0.905041
-0.182813 -0.615708 0.766475 82.4782 144.6 0 82.7092 145.378 -0.968773
-0.178096 -0.601495 0.778772 82.4782 144.6 0 82.7116 145.388 -1.02073
-0.176654 -0.590737 0.787288 82.4782 144.6 0 82.7146 145.39 -1.05378
-0.167146 -0.582396 0.795536 82.4782 144.6 0 82.7044 145.388 -1.07659
-0.154029 -0.576458 0.802478 82.4782 144.6 0 82.6881 145.385 -1.09364
-0.14237 -0.573117 0.807011 82.4782 144.6 0 82.6729 145.383 -1.10357
-0.136525 -0.569993 0.810228 82.4782 144.6 0 82.6646 145.378 -1.10623
-0.133895 -0.56836 0.811812 82.4782 144.6 0 82.6604 145.373 -1.10462
-0.129949 -0.564033 0.815463 82.4782 144.6 0 82.6551 145.367 -1.11016
-0.131771 -0.55994 0.817987 82.4782 144.6 0 82.6567 145.358 -1.10843
-0.143962 -0.550411 0.822388 82.4782 144.6 0 82.6698 145.332 -1.09472
-0.163218 -0.533192 0.8301 82.4782 144.6 0 82.6904 145.293 -1.0792
-0.19308 -0.505207 0.841122 82.4782 144.6 0 82.7212 145.236 -1.05891
-0.234347 -0.467892 0.85215 82.4782 144.6 0 82.7638 145.17 -1.03852
-0.295664 -0.413354 0.861232 82.4782 144.6 0 82.8266 145.087 -1.01506
-0.336503 -0.365821 0.867722 82.4782 144.6 0 82.9077 144.985 -1.00303
-0.330758 -0.359571 0.87253 82.4782 144.6 0 82.9944 144.879 -0.991392
-0.320796 -0.348745 0.880606 82.4782 144.6 0 83.0962 144.754 -0.988707
-0.313519 -0.340828 0.886308 82.4782 144.6 0 83.219 144.607 -0.970886
-0.299877 -0.325996 0.896549 82.4782 144.6 0 83.3332 144.459 -0.962414
-0.283275 -0.307959 0.908249 82.4782 144.6 0 83.4661 144.288 -0.953638
-0.257782 -0.280231 0.924672 82.4782 144.6 0 83.6007 144.105 -0.96192
-0.225455 -0.24509 0.942921 82.4782 144.6 0 83.7323 143.916 -0.980066
-0.190443 -0.207028 0.95962 82.4782 144.6 0 83.8822 143.708 -1.00469
-0.152952 -0.166274 0.974145 82.4782 144.6 0 84.0445 143.485 -1.03601
-0.114018 -0.123945 0.985717 82.4782 144.6 0 84.1961 143.27 -1.07881
