%Epsilons: 1) 4.78, 2) 26.29, 3) 47.8
%Fx Fy Fz Xd Yd Zd Xr Yr Zr
%
-0.0900442 0.528569 -0.844101 -461.059 184.251 1014.09 -461.051 184.186 1014.19
-0.0866403 0.476036 -0.875148 -461.059 184.251 1014.09 -461.043 184.161 1014.25
-0.126878 0.617638 -0.776161 -461.059 184.251 1014.09 -461.019 183.994 1014.41
-0.118476 0.59776 -0.792872 -461.059 184.251 1014.09 -461.011 183.929 1014.51
-0.120042 0.601411 -0.78987 -461.059 184.251 1014.09 -461.007 183.836 1014.62
-0.106912 0.569917 -0.814717 -461.059 184.251 1014.09 -460.983 183.681 1014.89
-0.114182 0.516531 -0.848621 -461.059 184.251 1014.09 -460.911 183.582 1015.19
-0.159477 0.394324 -0.905028 -461.059 184.251 1014.09 -460.788 183.58 1015.63
-0.183105 0.280916 -0.942103 -461.059 184.251 1014.09 -460.671 183.656 1016.08
-0.199362 0.198428 -0.959625 -461.059 184.251 1014.09 -460.564 183.758 1016.47
-0.21241 0.0809921 -0.973818 -461.059 184.251 1014.09 -460.382 183.993 1017.2
-0.207107 0.0660526 -0.976086 -461.059 184.251 1014.09 -460.359 184.028 1017.39
-0.204708 0.0419395 -0.977924 -461.059 184.251 1014.09 -460.337 184.103 1017.54
-0.198666 0.0366579 -0.979382 -461.059 184.251 1014.09 -460.336 184.117 1017.66
-0.179981 0.0257988 -0.983332 -461.059 184.251 1014.09 -460.389 184.155 1017.75
-0.159689 0.021317 -0.986937 -461.059 184.251 1014.09 -460.464 184.171 1017.77
-0.141943 0.0291058 -0.989447 -461.059 184.251 1014.09 -460.544 184.145 1017.68
-0.121576 0.0451778 -0.991553 -461.059 184.251 1014.09 -460.629 184.091 1017.59
-0.1092 0.0585561 -0.992294 -461.059 184.251 1014.09 -460.68 184.048 1017.53
-0.103726 0.0741173 -0.991841 -461.059 184.251 1014.09 -460.706 183.999 1017.46
-0.0999451 0.08483 -0.99137 -461.059 184.251 1014.09 -460.724 183.966 1017.41
-0.0999451 0.08483 -0.99137 -461.059 184.251 1014.09 -460.724 183.966 1017.41
-0.100227 0.0875146 -0.991108 -461.059 184.251 1014.09 -460.72 183.955 1017.45
-0.102126 0.0821563 -0.991373 -461.059 184.251 1014.09 -460.711 183.971 1017.47
-0.102383 0.0848194 -0.991122 -461.059 184.251 1014.09 -460.707 183.959 1017.5
-0.104236 0.0795624 -0.991365 -461.059 184.251 1014.09 -460.698 183.975 1017.52
-0.104236 0.0795624 -0.991365 -461.059 184.251 1014.09 -460.698 183.975 1017.52
-0.102383 0.0848194 -0.991122 -461.059 184.251 1014.09 -460.707 183.959 1017.5
-0.0931136 0.0884441 -0.991719 -461.059 184.251 1014.09 -460.74 183.948 1017.48
-0.0931136 0.0884441 -0.991719 -461.059 184.251 1014.09 -460.74 183.948 1017.48
-0.091175 0.0938191 -0.991406 -461.059 184.251 1014.09 -460.749 183.932 1017.46
-0.0891988 0.0992574 -0.991056 -461.059 184.251 1014.09 -460.758 183.916 1017.44
-0.0851602 0.110342 -0.990239 -461.059 184.251 1014.09 -460.775 183.883 1017.39
-0.081484 0.124059 -0.988924 -461.059 184.251 1014.09 -460.788 183.839 1017.37
-0.081484 0.124059 -0.988924 -461.059 184.251 1014.09 -460.788 183.839 1017.37
-0.0810092 0.121695 -0.989256 -461.059 184.251 1014.09 -460.793 183.851 1017.34
-0.0810092 0.121695 -0.989256 -461.059 184.251 1014.09 -460.793 183.851 1017.34
-0.0711544 0.125666 -0.989518 -461.059 184.251 1014.09 -460.826 183.84 1017.33
-0.0695477 0.1338 -0.988565 -461.059 184.251 1014.09 -460.831 183.812 1017.33
-0.0596032 0.137824 -0.988662 -461.059 184.251 1014.09 -460.864 183.801 1017.32
-0.0611868 0.129665 -0.989668 -461.059 184.251 1014.09 -460.86 183.829 1017.31
-0.0667095 0.137414 -0.988265 -461.059 184.251 1014.09 -460.844 183.807 1017.28
-0.0644474 0.143391 -0.987565 -461.059 184.251 1014.09 -460.852 183.791 1017.26
-0.0621431 0.149441 -0.986816 -461.059 184.251 1014.09 -460.861 183.775 1017.23
-0.0510405 0.151486 -0.987141 -461.059 184.251 1014.09 -460.899 183.776 1017.18
-0.0411624 0.145017 -0.988573 -461.059 184.251 1014.09 -460.933 183.805 1017.13
-0.0349792 0.155497 -0.987217 -461.059 184.251 1014.09 -460.954 183.785 1017.05
-0.0284641 0.166467 -0.985636 -461.059 184.251 1014.09 -460.976 183.764 1016.97
-0.0244962 0.171075 -0.984954 -461.059 184.251 1014.09 -460.989 183.76 1016.92
-0.0114616 0.173608 -0.984748 -461.059 184.251 1014.09 -461.027 183.761 1016.87
-0.00700481 0.17849 -0.983917 -461.059 184.251 1014.09 -461.04 183.757 1016.81
0.00521285 0.17168 -0.985139 -461.059 184.251 1014.09 -461.073 183.787 1016.75
0.0146075 0.157165 -0.987464 -461.059 184.251 1014.09 -461.098 183.832 1016.72
0.025853 0.152166 -0.988017 -461.059 184.251 1014.09 -461.127 183.85 1016.69
0.0261845 0.139338 -0.989899 -461.059 184.251 1014.09 -461.127 183.89 1016.65
0.0394288 0.144262 -0.988754 -461.059 184.251 1014.09 -461.161 183.879 1016.64
0.0513261 0.138893 -0.988976 -461.059 184.251 1014.09 -461.19 183.897 1016.61
0.0550942 0.140541 -0.988541 -461.059 184.251 1014.09 -461.224 183.886 1016.59
0.0550942 0.140541 -0.988541 -461.059 184.251 1014.09 -461.224 183.886 1016.59
0.0568966 0.135347 -0.989163 -461.059 184.251 1014.09 -461.249 183.892 1016.6
0.0586901 0.130178 -0.989752 -461.059 184.251 1014.09 -461.274 183.897 1016.6
0.0635729 0.116074 -0.991204 -461.059 184.251 1014.09 -461.294 183.931 1016.6
0.0634978 0.11629 -0.991183 -461.059 184.251 1014.09 -461.328 183.921 1016.58
0.0665825 0.107347 -0.99199 -461.059 184.251 1014.09 -461.357 183.938 1016.56
0.066522 0.107502 -0.991977 -461.059 184.251 1014.09 -461.391 183.928 1016.54
0.0664748 0.107661 -0.991963 -461.059 184.251 1014.09 -461.425 183.917 1016.52
0.0682828 0.1024 -0.992397 -461.059 184.251 1014.09 -461.45 183.923 1016.53
0.0736638 0.0866858 -0.993509 -461.059 184.251 1014.09 -461.491 183.95 1016.56
0.0771647 0.0764281 -0.994085 -461.059 184.251 1014.09 -461.541 183.961 1016.57
0.0806186 0.0662674 -0.99454 -461.059 184.251 1014.09 -461.591 183.973 1016.58
0.0873234 0.0464485 -0.995097 -461.059 184.251 1014.09 -461.657 184.006 1016.62
0.0922621 0.0317784 -0.995228 -461.059 184.251 1014.09 -461.732 184.023 1016.64
0.1001 0.00829578 -0.994943 -461.059 184.251 1014.09 -461.824 184.062 1016.68
0.113289 -0.0315877 -0.99306 -461.059 184.251 1014.09 -461.981 184.134 1016.77
0.128001 -0.0767638 -0.988799 -461.059 184.251 1014.09 -462.189 184.217 1016.86
0.148182 -0.13995 -0.979008 -461.059 184.251 1014.09 -462.458 184.363 1016.99
0.17375 -0.22223 -0.959388 -461.059 184.251 1014.09 -462.917 184.571 1017.18
0.19037 -0.277208 -0.941762 -461.059 184.251 1014.09 -463.206 184.752 1017.31
0.210798 -0.34668 -0.91399 -461.059 184.251 1014.09 -463.663 185.002 1017.46
0.231034 -0.417931 -0.878611 -461.059 184.251 1014.09 -464.177 185.289 1017.56
0.250618 -0.489743 -0.835071 -461.059 184.251 1014.09 -464.843 185.626 1017.67
0.266233 -0.549625 -0.791854 -461.059 184.251 1014.09 -465.671 185.957 1017.78
0.279492 -0.602907 -0.747253 -461.059 184.251 1014.09 -466.559 186.3 1017.86
0.291673 -0.654567 -0.697473 -461.059 184.251 1014.09 -467.591 186.725 1017.93
0.301325 -0.698152 -0.649452 -461.059 184.251 1014.09 -468.787 187.162 1017.98
0.308626 -0.733412 -0.605687 -461.059 184.251 1014.09 -469.999 187.574 1017.98
0.315049 -0.766931 -0.559072 -461.059 184.251 1014.09 -471.41 188.071 1017.96
0.320068 -0.795769 -0.514108 -461.059 184.251 1014.09 -472.88 188.521 1017.86
0.323721 -0.81921 -0.473392 -461.059 184.251 1014.09 -474.307 188.951 1017.71
0.326737 -0.841505 -0.430246 -461.059 184.251 1014.09 -475.843 189.428 1017.51
0.329462 -0.867064 -0.373705 -461.059 184.251 1014.09 -477.901 190.042 1017.12
0.330365 -0.87883 -0.344263 -461.059 184.251 1014.09 -479.026 190.348 1016.87
0.331111 -0.895583 -0.297147 -461.059 184.251 1014.09 -480.661 190.781 1016.38
0.33107 -0.908965 -0.253329 -461.059 184.251 1014.09 -482.058 191.121 1015.84
0.335654 -0.920156 -0.201617 -478.465 178.413 1012.29 -483.507 191.42 1015.12
0.331785 -0.931904 -0.14654 -478.465 178.413 1012.29 -485.058 191.62 1014.22
0.326349 -0.941345 -0.0858222 -478.465 178.413 1012.29 -486.47 191.745 1013.17
0.319751 -0.94716 -0.0254436 -478.465 178.413 1012.29 -487.736 191.832 1012.09
0.310933 -0.949486 0.0423931 -478.465 178.413 1012.29 -489.008 191.778 1010.82
0.300862 -0.947444 0.108779 -478.465 178.413 1012.29 -490.205 191.712 1009.54
0.290519 -0.941871 0.168752 -478.465 178.413 1012.29 -491.248 191.645 1008.33
0.27961 -0.933249 0.225534 -478.465 178.413 1012.29 -492.216 191.549 1007.13
0.269416 -0.923231 0.273971 -478.465 178.413 1012.29 -493.076 191.45 1006.05
0.260466 -0.913167 0.313503 -478.465 178.413 1012.29 -493.778 191.299 1005.14
0.251884 -0.902571 0.349171 -478.465 178.413 1012.29 -494.412 191.058 1004.32
0.244379 -0.892635 0.378791 -478.465 178.413 1012.29 -494.946 190.87 1003.61
0.238997 -0.885164 0.399206 -478.465 178.413 1012.29 -495.36 190.745 1003.09
0.235522 -0.880195 0.412052 -478.465 178.413 1012.29 -495.721 190.673 1002.73
0.233148 -0.876738 0.420681 -478.465 178.413 1012.29 -496.027 190.617 1002.47
0.232133 -0.875246 0.424333 -478.465 178.413 1012.29 -496.217 190.559 1002.35
0.231875 -0.874865 0.425258 -478.465 178.413 1012.29 -496.371 190.475 1002.32
0.232044 -0.875116 0.42465 -478.465 178.413 1012.29 -496.507 190.327 1002.36
0.233005 -0.876529 0.421195 -478.465 178.413 1012.29 -496.588 190.209 1002.47
0.234341 -0.878483 0.416355 -478.465 178.413 1012.29 -496.727 190.082 1002.59
0.235738 -0.880506 0.411262 -478.465 178.413 1012.29 -496.924 189.962 1002.7
0.23719 -0.882594 0.405916 -478.465 178.413 1012.29 -497.171 189.874 1002.79
0.239374 -0.885696 0.397796 -478.465 178.413 1012.29 -497.525 189.798 1002.9
0.241553 -0.888746 0.389593 -478.465 178.413 1012.29 -497.878 189.722 1003.02
0.24355 -0.891501 0.381981 -478.465 178.413 1012.29 -498.208 189.638 1003.13
0.245703 -0.894431 0.373661 -478.465 178.413 1012.29 -498.553 189.591 1003.24
0.248497 -0.898158 0.362715 -478.465 178.413 1012.29 -498.896 189.516 1003.42
0.251392 -0.901936 0.351161 -478.465 178.413 1012.29 -499.147 189.439 1003.62
0.254554 -0.905959 0.338292 -478.465 178.413 1012.29 -499.377 189.402 1003.85
0.257943 -0.910142 0.324201 -478.465 178.413 1012.29 -499.53 189.399 1004.11
0.260472 -0.913173 0.313479 -478.465 178.413 1012.29 -499.602 189.409 1004.31
0.261752 -0.914679 0.307976 -478.465 178.413 1012.29 -499.588 189.38 1004.43
0.261967 -0.914927 0.307053 -478.465 178.413 1012.29 -499.572 189.329 1004.47
0.26102 -0.913819 0.311133 -478.465 178.413 1012.29 -499.547 189.193 1004.43
0.259686 -0.91224 0.31683 -478.465 178.413 1012.29 -499.514 189.098 1004.35
0.258478 -0.910788 0.321953 -478.465 178.413 1012.29 -499.446 189.006 1004.29
0.257527 -0.909633 0.325956 -478.465 178.413 1012.29 -499.359 188.954 1004.24
0.257346 -0.909415 0.326706 -478.465 178.413 1012.29 -499.276 188.938 1004.25
0.257197 -0.909231 0.327335 -478.465 178.413 1012.29 -499.202 188.894 1004.27
0.257063 -0.909068 0.327894 -478.465 178.413 1012.29 -499.186 188.858 1004.27
0.256335 -0.908172 0.330931 -478.465 178.413 1012.29 -499.201 188.768 1004.23
0.255104 -0.906648 0.336023 -478.465 178.413 1012.29 -499.251 188.689 1004.14
0.253913 -0.905153 0.340921 -478.465 178.413 1012.29 -499.369 188.589 1004.05
0.252293 -0.903094 0.347519 -478.465 178.413 1012.29 -499.55 188.42 1003.92
0.25115 -0.901625 0.352132 -478.465 178.413 1012.29 -499.746 188.273 1003.83
0.236981 -0.904881 0.353598 -495.8 172.627 1009.84 -500.034 188.116 1003.73
0.237314 -0.905249 0.352428 -495.8 172.627 1009.84 -500.41 188.012 1003.68
0.238073 -0.906088 0.349751 -495.8 172.627 1009.84 -500.835 187.928 1003.64
0.239476 -0.907623 0.344779 -495.8 172.627 1009.84 -501.384 187.909 1003.6
0.241509 -0.909813 0.337512 -495.8 172.627 1009.84 -502.016 187.895 1003.57
0.244089 -0.912532 0.328186 -495.8 172.627 1009.84 -502.672 187.879 1003.58
0.246375 -0.914886 0.319818 -495.8 172.627 1009.84 -503.408 187.833 1003.57
0.247911 -0.916435 0.314144 -495.8 172.627 1009.84 -504.105 187.756 1003.52
0.249012 -0.917533 0.310043 -495.8 172.627 1009.84 -504.696 187.653 1003.47
0.24994 -0.918446 0.306574 -495.8 172.627 1009.84 -505.212 187.507 1003.44
0.251116 -0.919591 0.302147 -495.8 172.627 1009.84 -505.6 187.358 1003.47
0.251852 -0.920301 0.299359 -495.8 172.627 1009.84 -505.82 187.171 1003.51
0.25279 -0.921196 0.295797 -495.8 172.627 1009.84 -505.905 186.918 1003.63
0.252367 -0.920794 0.297404 -495.8 172.627 1009.84 -505.809 186.617 1003.69
0.249678 -0.918189 0.307555 -495.8 172.627 1009.84 -505.481 186.263 1003.68
0.24444 -0.912896 0.326911 -495.8 172.627 1009.84 -504.935 185.74 1003.6
0.234746 -0.902376 0.361403 -495.8 172.627 1009.84 -504.188 185.038 1003.38
0.220774 -0.885724 0.408353 -495.8 172.627 1009.84 -503.361 184.301 1003.03
0.201817 -0.860653 0.467489 -495.8 172.627 1009.84 -502.417 183.43 1002.6
0.179279 -0.827634 0.531865 -495.8 172.627 1009.84 -501.441 182.553 1002.18
0.15037 -0.780887 0.606304 -495.8 172.627 1009.84 -500.343 181.621 1001.7
0.115793 -0.719341 0.684938 -495.8 172.627 1009.84 -499.229 180.647 1001.19
0.0794955 -0.648904 0.756706 -495.8 172.627 1009.84 -498.164 179.748 1000.72
0.0467388 -0.580645 0.812814 -495.8 172.627 1009.84 -497.302 178.965 1000.34
0.0176385 -0.516476 0.85612 -495.8 172.627 1009.84 -496.453 178.304 1000.1
-0.00581778 -0.462382 0.886662 -495.8 172.627 1009.84 -495.776 177.757 999.965
0.0053203 -0.403605 0.914918 -478.465 178.413 1012.29 -495.213 177.257 999.921
-0.0102291 -0.363976 0.931352 -478.465 178.413 1012.29 -494.852 176.816 999.953
-0.0234468 -0.329659 0.943809 -478.465 178.413 1012.29 -494.615 176.406 1000.05
-0.0352741 -0.298447 0.953774 -478.465 178.413 1012.29 -494.373 176.028 1000.26
-0.0485892 -0.262739 0.963643 -478.465 178.413 1012.29 -494.203 175.588 1000.5
-0.0619815 -0.226205 0.972106 -478.465 178.413 1012.29 -494.094 175.153 1000.74
-0.0772049 -0.183903 0.979908 -478.465 178.413 1012.29 -494.037 174.675 1000.94
-0.0923652 -0.140936 0.985701 -478.465 178.413 1012.29 -494.064 174.207 1001
-0.106016 -0.101504 0.98917 -478.465 178.413 1012.29 -494.157 173.773 1000.99
-0.117161 -0.06878 0.990728 -478.465 178.413 1012.29 -494.341 173.383 1000.9
-0.160201 -0.0512012 0.985756 -495.8 172.627 1009.84 -494.612 173.003 1000.67
-0.167475 -0.0291297 0.985446 -495.8 172.627 1009.84 -494.948 172.658 1000.37
-0.171659 -0.0163003 0.985021 -495.8 172.627 1009.84 -495.414 172.356 999.961
-0.172795 -0.0128009 0.984875 -495.8 172.627 1009.84 -495.905 172.137 999.446
-0.17191 -0.0155317 0.98499 -495.8 172.627 1009.84 -496.407 171.983 998.918
-0.169414 -0.0231941 0.985272 -495.8 172.627 1009.84 -496.976 171.867 998.304
-0.165012 -0.0366293 0.985611 -495.8 172.627 1009.84 -497.64 171.805 997.736
-0.160018 -0.0517448 0.985757 -495.8 172.627 1009.84 -498.241 171.799 997.228
-0.151328 -0.0777309 0.985423 -495.8 172.627 1009.84 -498.881 171.944 996.723
-0.141871 -0.10556 0.984241 -495.8 172.627 1009.84 -499.517 172.137 996.299
-0.132557 -0.132541 0.982274 -495.8 172.627 1009.84 -500.13 172.341 995.961
-0.119776 -0.168883 0.978331 -495.8 172.627 1009.84 -500.803 172.674 995.701
-0.105656 -0.208167 0.97237 -495.8 172.627 1009.84 -501.474 173.069 995.488
-0.0905268 -0.249296 0.964187 -495.8 172.627 1009.84 -502.103 173.513 995.377
-0.0750718 -0.290304 0.953985 -495.8 172.627 1009.84 -502.757 173.969 995.271
-0.0599585 -0.329461 0.942263 -495.8 172.627 1009.84 -503.406 174.411 995.199
-0.0459491 -0.364945 0.929895 -495.8 172.627 1009.84 -504.038 174.833 995.096
-0.0316988 -0.400253 0.915856 -495.8 172.627 1009.84 -504.729 175.266 994.978
-0.0195326 -0.429775 0.902725 -495.8 172.627 1009.84 -505.421 175.641 994.813
-0.00913769 -0.45455 0.890674 -495.8 172.627 1009.84 -506.069 175.987 994.611
-0.000630926 -0.47452 0.880245 -495.8 172.627 1009.84 -506.789 176.272 994.321
0.00638363 -0.490775 0.871263 -495.8 172.627 1009.84 -507.536 176.512 993.988
0.010542 -0.500325 0.865774 -495.8 172.627 1009.84 -508.241 176.615 993.676
0.013791 -0.507742 0.861399 -495.8 172.627 1009.84 -508.894 176.685 993.388
0.0154349 -0.511477 0.859158 -495.8 172.627 1009.84 -509.442 176.684 993.148
0.0167701 -0.514504 0.857324 -495.8 172.627 1009.84 -509.928 176.642 992.994
0.0188079 -0.519111 0.8545 -495.8 172.627 1009.84 -510.358 176.624 992.91
0.019628 -0.520959 0.853356 -495.8 172.627 1009.84 -510.676 176.56 992.867
0.021115 -0.524306 0.851268 -495.8 172.627 1009.84 -510.902 176.518 992.916
0.0235658 -0.529806 0.847792 -495.8 172.627 1009.84 -511.029 176.525 993.047
0.0256905 -0.534555 0.844743 -495.8 172.627 1009.84 -511.094 176.506 993.229
0.0279276 -0.539535 0.8415 -495.8 172.627 1009.84 -511.078 176.53 993.408
0.0309676 -0.546268 0.837038 -495.8 172.627 1009.84 -511.008 176.576 993.658
0.0340432 -0.55305 0.832452 -495.8 172.627 1009.84 -510.901 176.623 993.928
0.0373164 -0.560224 0.8275 -495.8 172.627 1009.84 -510.758 176.655 994.253
0.0406501 -0.567486 0.822379 -495.8 172.627 1009.84 -510.544 176.688 994.619
0.0436692 -0.57403 0.817669 -495.8 172.627 1009.84 -510.34 176.711 994.959
0.0468748 -0.580935 0.812599 -495.8 172.627 1009.84 -510.091 176.777 995.274
0.0483392 -0.584079 0.810256 -495.8 172.627 1009.84 -509.882 176.798 995.487
0.0496502 -0.58688 0.80815 -495.8 172.627 1009.84 -509.674 176.835 995.665
0.0509876 -0.589735 0.805985 -495.8 172.627 1009.84 -509.466 176.872 995.843
0.0520719 -0.592046 0.80422 -495.8 172.627 1009.84 -509.231 176.884 996.05
0.0529767 -0.593972 0.80274 -495.8 172.627 1009.84 -508.997 176.912 996.222
0.0522215 -0.592367 0.803974 -495.8 172.627 1009.84 -508.722 176.922 996.323
0.0525265 -0.593013 0.803477 -495.8 172.627 1009.84 -508.491 176.996 996.391
0.0514415 -0.590703 0.805247 -495.8 172.627 1009.84 -508.211 177.078 996.377
0.0516111 -0.591068 0.804969 -495.8 172.627 1009.84 -507.866 177.212 996.426
0.0545728 -0.597359 0.800115 -495.8 172.627 1009.84 -507.526 177.471 996.508
0.0490599 -0.585621 0.809099 -495.8 172.627 1009.84 -507.924 177.313 996.074
0.0431748 -0.572962 0.818444 -495.8 172.627 1009.84 -508.347 177.09 995.669
0.037026 -0.559591 0.827941 -495.8 172.627 1009.84 -508.771 176.564 995.664
0.0369579 -0.559436 0.828049 -495.8 172.627 1009.84 -509.185 176.246 995.845
0.0386596 -0.563154 0.825447 -495.8 172.627 1009.84 -509.381 175.989 996.208
0.0468296 -0.580841 0.812669 -495.8 172.627 1009.84 -509.564 175.833 996.874
0.0571415 -0.602784 0.795856 -495.8 172.627 1009.84 -509.67 175.819 997.49
0.0696357 -0.628809 0.774435 -495.8 172.627 1009.84 -509.889 175.809 998.117
0.0810729 -0.65208 0.753803 -495.8 172.627 1009.84 -510.223 175.724 998.657
0.0917851 -0.673378 0.733579 -495.8 172.627 1009.84 -510.574 175.553 999.201
0.101244 -0.691785 0.714971 -495.8 172.627 1009.84 -510.932 175.271 999.75
0.106904 -0.702616 0.703493 -495.8 172.627 1009.84 -511.163 174.941 1000.2
0.106991 -0.702781 0.703315 -495.8 172.627 1009.84 -511.321 174.539 1000.5
0.0996779 -0.688764 0.718101 -495.8 172.627 1009.84 -511.408 174.01 1000.66
0.0826153 -0.655169 0.750951 -495.8 172.627 1009.84 -511.452 173.343 1000.65
0.0543547 -0.596889 0.80048 -495.8 172.627 1009.84 -511.38 172.57 1000.46
0.0109171 -0.50118 0.865274 -495.8 172.627 1009.84 -511.264 171.549 1000.12
-0.0418797 -0.375103 0.926037 -495.8 172.627 1009.84 -511.125 170.404 999.672
-0.0952277 -0.236611 0.966927 -495.8 172.627 1009.84 -510.97 169.237 999.193
-0.151002 -0.0786859 0.985397 -495.8 172.627 1009.84 -510.816 167.88 998.581
-0.198402 0.0681584 0.977748 -495.8 172.627 1009.84 -510.709 166.446 997.866
-0.265516 0.176872 0.947743 -513.042 166.9 1006.74 -510.603 165.034 997.117
-0.291849 0.278118 0.915136 -513.042 166.9 1006.74 -510.473 163.524 996.258
-0.309832 0.354218 0.882345 -513.042 166.9 1006.74 -510.43 162.047 995.415
-0.323348 0.41681 0.849538 -513.042 166.9 1006.74 -510.558 160.476 994.55
-0.333185 0.46653 0.819352 -513.042 166.9 1006.74 -510.848 158.921 993.75
-0.340317 0.505694 0.792753 -513.042 166.9 1006.74 -511.263 157.481 993.09
-0.345972 0.539357 0.767723 -513.042 166.9 1006.74 -511.801 156.021 992.446
-0.350352 0.567619 0.745025 -513.042 166.9 1006.74 -512.425 154.644 991.893
-0.353792 0.591665 0.724406 -513.042 166.9 1006.74 -513.08 153.406 991.476
-0.357168 0.617469 0.70083 -513.042 166.9 1006.74 -513.919 152.108 991.189
-0.360163 0.643043 0.675853 -513.042 166.9 1006.74 -514.889 150.866 991.063
-0.3625 0.66574 0.652215 -513.042 166.9 1006.74 -515.921 149.812 991.084
-0.364519 0.688653 0.626803 -513.042 166.9 1006.74 -517.191 148.734 991.168
